,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
L3,L5,0.046658013725939314,L3,0.06556908000619925,0.06556908000619925,8.9
L3,L2,0.04383025531830662,L3,0.06330949356489632,0.06330949356489632,8.9
L4,R1-R6,5.631803984595324,L4,50.82092819614711,50.82092819614711,141.3
L4,L4,2.8061982593929105,L4,10.119412124923453,10.119412124923453,35.1
L4,L2,6.315917154380325,L4,4.253581070869872,6.315917154380325,25.2
L4,L3,1.7224125905934438,L4,2.804522786747642,2.804522786747642,16.0
L4,C3,0.9097249598204808,L4,0.9944180002916959,0.9944180002916959,11.3
L4,L1,0.6859326197046427,L4,0.7082516641722347,0.7082516641722347,10.5
L4,L5,0.3438760348121418,L4,0.22531920220312107,0.3438760348121418,9.6
L4,Mi1,0.11098644509809868,L4,0.051911506483264924,0.11098644509809868,9.0
L4,Lawf1,0.07520393001182643,L4,0.10095171414382363,0.10095171414382363,9.0
L4,C2,0.03881493161900718,L4,0.06364169724451338,0.06364169724451338,8.9
L4,R8p,0.0018194499196409618,L4,0.03755163349605708,0.03755163349605708,8.8
L4,aMe4,0.0012129666130939745,L4,0.02260653328812027,0.02260653328812027,8.8
L5,C2,4.078538525256841,L5,21.64116026769289,21.64116026769289,65.2
L5,L1,5.333978013410845,L5,17.823394222520022,17.823394222520022,55.2
L5,Mi1,7.431811963313207,L5,11.249195087980075,11.249195087980075,38.0
L5,C3,2.6977237545867863,L5,9.543098076132642,9.543098076132642,33.6
L5,L5,1.3326511718559664,L5,2.825828654085351,2.825828654085351,16.1
L5,L2,1.1748544784650616,L5,2.560562678440871,2.560562678440871,15.4
L5,aMe4,0.00562220997829827,L5,0.339097999321804,0.339097999321804,9.6
L5,R1-R6,0.011431826955873149,L5,0.33384413309982486,0.33384413309982486,9.6
L5,L4,0.020802176919703597,L5,0.2427609133059225,0.2427609133059225,9.3
L5,l-LNv,0.0013118489949362627,L5,0.15503875968992248,0.15503875968992248,9.1
L5,L3,0.017054036934171415,L5,0.08986323013874488,0.08986323013874488,8.9
L5,Lawf1,0.014055524945745673,L5,0.06105950452247397,0.06105950452247397,8.9
L5,aMe12,0.00037481399855321797,L5,0.05442176870748299,0.05442176870748299,8.8
